Siniset,#0000FF
Vaaleansiniset,#ADD8E6
Tummansiniset,#00008B
Haaleansiniset,#A9D5E8
Kirkkaansiniset,#0505FF
Merensiniset,#15BEF0
Sähkönsiniset,#0000CD
Taivaansiniset,#87CEED
Laivastonsiniset,#000080
Syvänsiniset,#0E0A70
Yönsiniset,#00009C
Teräksensiniset,#4682B4
Lemmikinsiniset,#7997B3
Indigonsiniset,#4B0082
Jäänsiniset,#E0FFFF
Punaiset,#FF0000
Vaaleanpunaiset,#FFC0CB
Tummanpunaiset,#8B0000
Haaleanpunaiset,#ED5353
Kirkkaanpunaiset,#FF1414
Viininpunaiset,#A31C1C
Ruosteenpunaiset,#B7410E
Syvänpunaiset,#8F0303
Joulunpunaiset,#FC0303
Tulenpunaiset,#FF2400
Kirsikanpunaiset,#DE3163
Unikonpunaiset,#EB0707
Tiilenpunaiset,#B22222
Keltaiset,#FFFF00
Vaaleankeltaiset,#F7F74F
Tummankeltaiset,#FFE100
Haaleankeltaiset,#F5F578
Kirkkaankeltaiset,#FFF700
Kullankeltaiset,#FFD700
Auringonkeltaiset,#FFE600
Sinapinkeltaiset,#f5D11D
Syvänkeltaiset,#FFEA00
Oljenkeltaiset,#F5E56E
Okrankeltaiset,#D18B00
Leinikinkeltaiset,#FCF10F
Vihreät,#008000
Vaaleanvihreät,#90EE90
Tummanvihreät,#006400
Haaleanvihreät,#98FB98
Kirkkaanvihreät,#05FF05
Metsänvihreät,#228B22
Ruohonvihreät,#7CFC00
Mintunvihreät,#CFFFE5
Limenvihreät,#32CD32
Syvänvihreät,#053614
Merenvihreät,#2E8B57
Oliivinvihreät,#6B8E23
Sinivihreät,#008080
Ruskeat,#804201
Vaaleanruskeat,#C49058
Tummanruskeat,#4A2804
Haalenruskeat,#BA9670
Kullanruskeat,#A65805
Suklaanruskeat,#4F291E
Kuparinrusket,#B87333
Kastanjanruskeat,#800000
Pronssinruskeat,#8C7853
Pähkinänruskeat,#82270C
Punaruskeat,#702A16
Toffeenruskeat,#F2CB55
Hiekanruskeat,#524729
Oranssit,#FFA500
Vaaleanoranssit,#FFBF00
Tummanoranssit,#FF7700
Haaleanoranssit,#FADD73
Kirkkaanoranssit,#FFC803
Violetit,#C8A2C8
Vaaleanvioletit,#FAD9FA
Tummanvioletit,#AD07AD
Haaleanvioletit,#F5E9F5
Kirkkaanvioletit,#FF00FF
Harmaat,#808080
Vaaleanharmaat,#D3D3D3
Tummanharmaat,#6E6D6D
Haaleanharmaat,#F0F0F0
Kirkkaanharmaat,#D9D7D7
Hopeanharmaat,#C0C0C0
Hiilenharmaat,#242222
Savunharmaat,#6B6060
Syvänharmaa,#363535
Mustat,#000000
Sysimustat,#0D0D0D
Yönmustat,#1F1D1D
Lakritsinmustat,#2E2222
Valkoiset,#FFFFFF
Luonnonvalkoiset,#F2F2E9
Lumenvalkoiset,#FFFAFA
Liidunvalkoiset,#FFFEF9
Kermanvalkoiset,#FFFFED
Turkoosit,#40E0D0
Vaaleanturkoosit,#7FFFD4
Tummanturkoosit,#00B2B5
Haaleanturkoosit,#AFEEEE
Kirkkaanturkoosit,#05F1F5
Syvänturkoosit,#00A7D1
